group,subcategory,source_site,source_url,image_url,local_image_path,title,public_prompt_or_description,style_prompt_cn,style_prompt_en,likes,views,heat_score,license_note,download_status,notes
行业品类,服装,Civitai,https://civitai.com/api/v1/images?limit=1&sort=Most%20Reactions&period=AllTime&nsfw=false&query=fashion%20editorial,,,,,,fashion editorial,,,,public metadata only; verify author/model license before commercial use,metadata_failed,URLError: <urlopen error timed out>
行业品类,服装,Civitai,https://civitai.com/api/v1/images?limit=1&sort=Most%20Reactions&period=AllTime&nsfw=false&query=luxury%20fashion%20campaign,,,,,,luxury fashion campaign,,,,public metadata only; verify author/model license before commercial use,metadata_failed,URLError: <urlopen error timed out>
行业品类,服装,Civitai,https://civitai.com/api/v1/images?limit=1&sort=Most%20Reactions&period=AllTime&nsfw=false&query=streetwear%20lookbook,,,,,,streetwear lookbook,,,,public metadata only; verify author/model license before commercial use,metadata_failed,URLError: <urlopen error timed out>
